,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,00:00,50.03,50.0,50.01,50.02,50.0,49.97,49.87,50.0,50.03,50.01,50.03,50.0,50.02,50.02,49.98,50.02,50.04,50.02,50.0,49.97,50.03,50.06,50.01,50.06,50.04,49.99,50.0,49.99,50.02,50.05,50.0
1,00:15,49.99,50.0,50.02,49.99,49.98,49.99,50.0,50.0,50.03,50.01,50.03,50.04,49.99,50.02,49.99,50.02,50.0,50.03,50.0,50.0,50.03,50.02,50.01,50.03,50.03,50.0,50.01,50.0,50.02,50.04,50.0
2,00:30,49.96,49.99,50.01,49.98,49.99,49.99,50.0,50.02,50.05,50.02,50.01,50.01,50.02,50.04,49.97,50.02,49.99,50.02,49.99,49.98,50.04,50.03,50.0,49.99,50.03,50.0,50.01,50.0,50.0,50.05,50.01
3,00:45,49.93,49.99,50.01,49.99,50.0,49.99,50.02,50.02,50.03,50.01,50.0,49.93,50.02,50.04,49.96,50.02,50.01,49.99,49.93,49.98,50.04,50.02,49.99,49.99,50.01,50.01,50.05,50.0,49.99,50.02,50.0
4,01:00,49.99,49.99,50.02,49.99,49.99,50.01,50.0,50.0,50.02,50.04,49.99,49.88,50.02,50.0,49.96,50.02,50.01,49.98,49.87,49.99,50.02,50.01,49.98,50.0,50.01,50.0,50.02,50.0,50.01,50.05,50.0
5,01:15,50.02,49.99,50.0,49.98,49.99,50.01,50.0,50.03,50.05,50.03,49.99,49.91,50.01,49.99,49.92,49.94,49.99,50.01,49.95,49.99,50.03,50.0,49.98,50.01,50.01,50.0,50.01,49.95,49.99,50.03,50.02
6,01:30,49.97,49.99,49.99,49.91,49.98,50.01,50.0,50.0,50.01,50.05,49.98,49.98,50.0,49.99,49.83,49.89,50.03,50.01,49.91,49.98,50.01,49.98,49.98,50.02,50.02,50.0,50.0,49.96,50.02,50.02,49.99
7,01:45,49.98,49.99,49.98,49.91,50.0,50.0,50.02,50.05,50.0,50.04,49.97,49.91,50.0,50.02,49.86,49.98,50.03,50.0,49.96,49.98,50.02,50.0,49.94,50.0,50.01,50.0,50.0,49.97,50.03,50.03,49.99
8,02:00,49.92,49.99,49.99,49.98,49.89,50.01,50.02,50.04,49.99,50.03,50.01,49.88,50.0,50.0,49.82,49.97,50.02,49.99,49.96,49.88,50.0,50.0,49.94,49.99,50.01,50.0,49.99,49.89,50.02,50.04,49.99
9,02:15,49.89,49.99,49.95,49.9,49.87,50.0,49.99,50.01,49.95,50.01,50.02,49.96,49.98,49.98,49.98,50.0,50.01,49.99,49.98,49.86,50.0,49.98,49.96,50.0,50.02,50.01,49.99,49.88,50.01,50.04,49.99
